pokedex_number,name,type1,type2,hp,attack,defense,speed
134,Vaporeon,water,,130,65,60,65
135,Jolteon,electric,,65,65,60,130
136,Flareon,fire,,65,130,60,65
137,Porygon,normal,,65,60,70,40
138,Omanyte,rock,water,35,40,100,35
139,Omastar,rock,water,70,60,125,55
140,Kabuto,rock,water,30,80,90,55
141,Kabutops,rock,water,60,115,105,80
142,Aerodactyl,rock,flying,80,135,85,150
143,Snorlax,normal,,160,110,65,30
144,Articuno,ice,flying,90,85,100,85
145,Zapdos,electric,flying,90,90,85,100
146,Moltres,fire,flying,90,100,90,90
147,Dratini,dragon,,41,64,45,50
148,Dragonair,dragon,,61,84,65,70
149,Dragonite,dragon,flying,91,134,95,80
150,Mewtwo,psychic,,106,150,70,140
151,Mew,psychic,,100,100,100,100
152,Chikorita,grass,,45,49,65,45
153,Bayleef,grass,,60,62,80,60
154,Meganium,grass,,80,82,100,80
155,Cyndaquil,fire,,39,52,43,65
156,Quilava,fire,,58,64,58,80
157,Typhlosion,fire,,78,84,78,100
158,Totodile,water,,50,65,64,43
159,Croconaw,water,,65,80,80,58
160,Feraligatr,water,,85,105,100,78
161,Sentret,normal,,35,46,34,20
162,Furret,normal,,85,76,64,90
163,Hoothoot,normal,flying,60,30,30,50
164,Noctowl,normal,flying,100,50,50,70
165,Ledyba,bug,flying,40,20,30,55
166,Ledian,bug,flying,55,35,50,85
167,Spinarak,bug,poison,40,60,40,30
168,Ariados,bug,poison,70,90,70,40
169,Crobat,poison,flying,85,90,80,130
170,Chinchou,water,electric,75,38,38,67
171,Lanturn,water,electric,125,58,58,67
172,Pichu,electric,,20,40,15,60
173,Cleffa,fairy,,50,25,28,15
174,Igglybuff,normal,fairy,90,30,15,15
175,Togepi,fairy,,35,20,65,20
176,Togetic,fairy,flying,55,40,85,40
177,Natu,psychic,flying,40,50,45,70
178,Xatu,psychic,flying,65,75,70,95
179,Mareep,electric,,55,40,40,35
180,Flaaffy,electric,,70,55,55,45
181,Ampharos,electric,,90,95,105,45
182,Bellossom,grass,,75,80,95,50
183,Marill,water,fairy,70,20,50,40
184,Azumarill,water,fairy,100,50,80,50
185,Sudowoodo,rock,,70,100,115,30
186,Politoed,water,,90,75,75,70
187,Hoppip,grass,flying,35,35,40,50
188,Skiploom,grass,flying,55,45,50,80
189,Jumpluff,grass,flying,75,55,70,110
190,Aipom,normal,,55,70,55,85
191,Sunkern,grass,,30,30,30,30
192,Sunflora,grass,,75,75,55,30
193,Yanma,bug,flying,65,65,45,95
194,Wooper,water,ground,55,45,45,15
195,Quagsire,water,ground,95,85,85,35
196,Espeon,psychic,,65,65,60,110
197,Umbreon,dark,,95,65,110,65
198,Murkrow,dark,flying,60,85,42,91
199,Slowking,water,psychic,95,75,80,30
200,Misdreavus,ghost,,60,60,60,85
201,Unown,psychic,,48,72,48,48
202,Wobbuffet,psychic,,190,33,58,33
203,Girafarig,normal,psychic,70,80,65,85
204,Pineco,bug,,50,65,90,15
205,Forretress,bug,steel,75,90,140,40
206,Dunsparce,normal,,100,70,70,45
207,Gligar,ground,flying,65,75,105,85
208,Steelix,steel,ground,75,125,230,30
209,Snubbull,fairy,,60,80,50,30
210,Granbull,fairy,,90,120,75,45
211,Qwilfish,water,poison,65,95,85,85
212,Scizor,bug,steel,70,150,140,75
213,Shuckle,bug,rock,20,10,230,5
214,Heracross,bug,fighting,80,185,115,75
215,Sneasel,dark,ice,55,95,55,115
216,Teddiursa,normal,,60,80,50,40
217,Ursaring,normal,,90,130,75,55
218,Slugma,fire,,40,40,40,20
219,Magcargo,fire,rock,60,50,120,30
220,Swinub,ice,ground,50,50,40,50
221,Piloswine,ice,ground,100,100,80,50
222,Corsola,water,rock,65,55,95,35
223,Remoraid,water,,35,65,35,65
224,Octillery,water,,75,105,75,45
225,Delibird,ice,flying,45,55,45,75
226,Mantine,water,flying,85,40,70,70
227,Skarmory,steel,flying,65,80,140,70
228,Houndour,dark,fire,45,60,30,65
229,Houndoom,dark,fire,75,90,90,115
230,Kingdra,water,dragon,75,95,95,85
231,Phanpy,ground,,90,60,60,40
232,Donphan,ground,,90,120,120,50
233,Porygon2,normal,,85,80,90,60
234,Stantler,normal,,73,95,62,85
235,Smeargle,normal,,55,20,35,75
236,Tyrogue,fighting,,35,35,35,35
237,Hitmontop,fighting,,50,95,95,70
238,Smoochum,ice,psychic,45,30,15,65
239,Elekid,electric,,45,63,37,95
240,Magby,fire,,45,75,37,83
241,Miltank,normal,,95,80,105,100
242,Blissey,normal,,255,10,10,55
243,Raikou,electric,,90,85,75,115
244,Entei,fire,,115,115,85,100
245,Suicune,water,,100,75,115,85
246,Larvitar,rock,ground,50,64,50,41
247,Pupitar,rock,ground,70,84,70,51
248,Tyranitar,rock,dark,100,164,150,71
249,Lugia,psychic,flying,106,90,130,110
250,Ho-Oh,fire,flying,106,130,90,90
251,Celebi,psychic,grass,100,100,100,100
252,Treecko,grass,,40,45,35,70
253,Grovyle,grass,,50,65,45,95
254,Sceptile,grass,,70,110,75,145
255,Torchic,fire,,45,60,40,45
256,Combusken,fire,fighting,60,85,60,55
257,Blaziken,fire,fighting,80,160,80,100
258,Mudkip,water,,50,70,50,40
259,Marshtomp,water,ground,70,85,70,50
260,Swampert,water,ground,100,150,110,70
261,Poochyena,dark,,35,55,35,35
262,Mightyena,dark,,70,90,70,70
263,Zigzagoon,normal,,38,30,41,60
264,Linoone,normal,,78,70,61,100
265,Wurmple,bug,,45,45,35,20
266,Silcoon,bug,,50,35,55,15
267,Beautifly,bug,flying,60,70,50,65
268,Cascoon,bug,,50,35,55,15
269,Dustox,bug,poison,60,50,70,65
270,Lotad,water,grass,40,30,30,30
271,Lombre,water,grass,60,50,50,50
272,Ludicolo,water,grass,80,70,70,70
273,Seedot,grass,,40,40,50,30
274,Nuzleaf,grass,dark,70,70,40,60
275,Shiftry,grass,dark,90,100,60,80
276,Taillow,normal,flying,40,55,30,85
277,Swellow,normal,flying,60,85,60,125
278,Wingull,water,flying,40,30,30,85
279,Pelipper,water,flying,60,50,100,65
280,Ralts,psychic,fairy,28,25,25,40
281,Kirlia,psychic,fairy,38,35,35,50
282,Gardevoir,psychic,fairy,68,85,65,100
283,Surskit,bug,water,40,30,32,65
284,Masquerain,bug,flying,70,60,62,80
285,Shroomish,grass,,60,40,60,35
286,Breloom,grass,fighting,60,130,80,70
287,Slakoth,normal,,60,60,60,30
288,Vigoroth,normal,,80,80,80,90
289,Slaking,normal,,150,160,100,100
290,Nincada,bug,ground,31,45,90,40
291,Ninjask,bug,flying,61,90,45,160
292,Shedinja,bug,ghost,1,90,45,40
293,Whismur,normal,,64,51,23,28
294,Loudred,normal,,84,71,43,48
295,Exploud,normal,,104,91,63,68
296,Makuhita,fighting,,72,60,30,25
297,Hariyama,fighting,,144,120,60,50
298,Azurill,normal,fairy,50,20,40,20
299,Nosepass,rock,,30,45,135,30
300,Skitty,normal,,50,45,45,50
301,Delcatty,normal,,70,65,65,90
302,Sableye,dark,ghost,50,85,125,20
303,Mawile,steel,fairy,50,105,125,50
304,Aron,steel,rock,50,70,100,30
305,Lairon,steel,rock,60,90,140,40
306,Aggron,steel,rock,70,140,230,50
307,Meditite,fighting,psychic,30,40,55,60
308,Medicham,fighting,psychic,60,100,85,100
309,Electrike,electric,,40,45,40,65
310,Manectric,electric,,70,75,80,135
311,Plusle,electric,,60,50,40,95
312,Minun,electric,,60,40,50,95
313,Volbeat,bug,,65,73,75,85
314,Illumise,bug,,65,47,75,85
315,Roselia,grass,poison,50,60,45,65
316,Gulpin,poison,,70,43,53,40
317,Swalot,poison,,100,73,83,55
318,Carvanha,water,dark,45,90,20,65
319,Sharpedo,water,dark,70,140,70,105
320,Wailmer,water,,130,70,35,60
321,Wailord,water,,170,90,45,60
322,Numel,fire,ground,60,60,40,35
323,Camerupt,fire,ground,70,120,100,20
324,Torkoal,fire,,70,85,140,20
325,Spoink,psychic,,60,25,35,60
326,Grumpig,psychic,,80,45,65,80
327,Spinda,normal,,60,60,60,60
328,Trapinch,ground,,45,100,45,10
329,Vibrava,ground,dragon,50,70,50,70
330,Flygon,ground,dragon,80,100,80,100
331,Cacnea,grass,,50,85,40,35
332,Cacturne,grass,dark,70,115,60,55
333,Swablu,normal,flying,45,40,60,50
334,Altaria,dragon,flying,75,110,110,80
335,Zangoose,normal,,73,115,60,90
336,Seviper,poison,,73,100,60,65
337,Lunatone,rock,psychic,90,55,65,70
338,Solrock,rock,psychic,90,95,85,70
339,Barboach,water,ground,50,48,43,60
340,Whiscash,water,ground,110,78,73,60
341,Corphish,water,,43,80,65,35
342,Crawdaunt,water,dark,63,120,85,55
343,Baltoy,ground,psychic,40,40,55,55
344,Claydol,ground,psychic,60,70,105,75
345,Lileep,rock,grass,66,41,77,23
346,Cradily,rock,grass,86,81,97,43
347,Anorith,rock,bug,45,95,50,75
348,Armaldo,rock,bug,75,125,100,45
349,Feebas,water,,20,15,20,80
350,Milotic,water,,95,60,79,81
351,Castform,normal,,70,70,70,70
352,Kecleon,normal,,60,90,70,40
353,Shuppet,ghost,,44,75,35,45
354,Banette,ghost,,64,165,75,75
355,Duskull,ghost,,20,40,90,25
356,Dusclops,ghost,,40,70,130,25
357,Tropius,grass,flying,99,68,83,51
358,Chimecho,psychic,,75,50,80,65
359,Absol,dark,,65,150,60,115
360,Wynaut,psychic,,95,23,48,23
361,Snorunt,ice,,50,50,50,50
362,Glalie,ice,,80,120,80,100
363,Spheal,ice,water,70,40,50,25
364,Sealeo,ice,water,90,60,70,45
365,Walrein,ice,water,110,80,90,65
366,Clamperl,water,,35,64,85,32
367,Huntail,water,,55,104,105,52
368,Gorebyss,water,,55,84,105,52
369,Relicanth,water,rock,100,90,130,55
370,Luvdisc,water,,43,30,55,97
371,Bagon,dragon,,45,75,60,50
372,Shelgon,dragon,,65,95,100,50
373,Salamence,dragon,flying,95,145,130,120
374,Beldum,steel,psychic,40,55,80,30
375,Metang,steel,psychic,60,75,100,50
376,Metagross,steel,psychic,80,145,150,110
377,Regirock,rock,,80,100,200,50
378,Regice,ice,,80,50,100,50
379,Registeel,steel,,80,75,150,50
380,Latias,dragon,psychic,80,100,120,110
381,Latios,dragon,psychic,80,130,100,110
382,Kyogre,water,,100,150,90,90
383,Groudon,ground,,100,180,160,90
384,Rayquaza,dragon,flying,105,180,100,115
385,Jirachi,steel,psychic,100,100,100,100
386,Deoxys,psychic,,50,95,90,180
387,Turtwig,grass,,55,68,64,31
388,Grotle,grass,,75,89,85,36
389,Torterra,grass,ground,95,109,105,56
390,Chimchar,fire,,44,58,44,61
391,Monferno,fire,fighting,64,78,52,81
392,Infernape,fire,fighting,76,104,71,108
393,Piplup,water,,53,51,53,40
394,Prinplup,water,,64,66,68,50
395,Empoleon,water,steel,84,86,88,60
396,Starly,normal,flying,40,55,30,60
397,Staravia,normal,flying,55,75,50,80
398,Staraptor,normal,flying,85,120,70,100
399,Bidoof,normal,,59,45,40,31
400,Bibarel,normal,water,79,85,60,71
401,Kricketot,bug,,37,25,41,25
402,Kricketune,bug,,77,85,51,65
403,Shinx,electric,,45,65,34,45
404,Luxio,electric,,60,85,49,60
405,Luxray,electric,,80,120,79,70
406,Budew,grass,poison,40,30,35,55
407,Roserade,grass,poison,60,70,65,90
408,Cranidos,rock,,67,125,40,58
409,Rampardos,rock,,97,165,60,58
410,Shieldon,rock,steel,30,42,118,30
411,Bastiodon,rock,steel,60,52,168,30
412,Burmy,bug,,40,29,45,36
413,Wormadam,bug,grass,60,69,95,36
414,Mothim,bug,flying,70,94,50,66
415,Combee,bug,flying,30,30,42,70
416,Vespiquen,bug,flying,70,80,102,40
417,Pachirisu,electric,,60,45,70,95
418,Buizel,water,,55,65,35,85
419,Floatzel,water,,85,105,55,115
420,Cherubi,grass,,45,35,45,35
421,Cherrim,grass,,70,60,70,85
422,Shellos,water,,76,48,48,34
423,Gastrodon,water,ground,111,83,68,39
424,Ambipom,normal,,75,100,66,115
425,Drifloon,ghost,flying,90,50,34,70
426,Drifblim,ghost,flying,150,80,44,80
427,Buneary,normal,,55,66,44,85
428,Lopunny,normal,,65,136,94,135
429,Mismagius,ghost,,60,60,60,105
430,Honchkrow,dark,flying,100,125,52,71
431,Glameow,normal,,49,55,42,85
432,Purugly,normal,,71,82,64,112
433,Chingling,psychic,,45,30,50,45
434,Stunky,poison,dark,63,63,47,74
435,Skuntank,poison,dark,103,93,67,84
436,Bronzor,steel,psychic,57,24,86,23
437,Bronzong,steel,psychic,67,89,116,33
438,Bonsly,rock,,50,80,95,10
439,Mime Jr.,psychic,fairy,20,25,45,60
440,Happiny,normal,,100,5,5,30
441,Chatot,normal,flying,76,65,45,91
442,Spiritomb,ghost,dark,50,92,108,35
443,Gible,dragon,ground,58,70,45,42
444,Gabite,dragon,ground,68,90,65,82
445,Garchomp,dragon,ground,108,170,115,92
446,Munchlax,normal,,135,85,40,5
447,Riolu,fighting,,40,70,40,60
448,Lucario,fighting,steel,70,145,88,112
449,Hippopotas,ground,,68,72,78,32
450,Hippowdon,ground,,108,112,118,47
451,Skorupi,poison,bug,40,50,90,65
452,Drapion,poison,dark,70,90,110,95
453,Croagunk,poison,fighting,48,61,40,50
454,Toxicroak,poison,fighting,83,106,65,85
455,Carnivine,grass,,74,100,72,46
456,Finneon,water,,49,49,56,66
457,Lumineon,water,,69,69,76,91
458,Mantyke,water,flying,45,20,50,50
459,Snover,grass,ice,60,62,50,40
460,Abomasnow,grass,ice,90,132,105,30
461,Weavile,dark,ice,70,120,65,125
462,Magnezone,electric,steel,70,70,115,60
463,Lickilicky,normal,,110,85,95,50
464,Rhyperior,ground,rock,115,140,130,40
465,Tangrowth,grass,,100,100,125,50
466,Electivire,electric,,75,123,67,95
467,Magmortar,fire,,75,95,67,83
468,Togekiss,fairy,flying,85,50,95,80
469,Yanmega,bug,flying,86,76,86,95
470,Leafeon,grass,,65,110,130,95
471,Glaceon,ice,,65,60,110,65
472,Gliscor,ground,flying,75,95,125,95
473,Mamoswine,ice,ground,110,130,80,80
474,Porygon-Z,normal,,85,80,70,90
475,Gallade,psychic,fighting,68,165,95,110
476,Probopass,rock,steel,60,55,145,40
477,Dusknoir,ghost,,45,100,135,45
478,Froslass,ice,ghost,70,80,70,110
479,Rotom,electric,ghost,50,65,107,86
480,Uxie,psychic,,75,75,130,95
481,Mesprit,psychic,,80,105,105,80
482,Azelf,psychic,,75,125,70,115
483,Dialga,steel,dragon,100,120,120,90
484,Palkia,water,dragon,90,120,100,100
485,Heatran,fire,steel,91,90,106,77
486,Regigigas,normal,,110,160,110,100
487,Giratina,ghost,dragon,150,120,100,90
488,Cresselia,psychic,,120,70,120,85
489,Phione,water,,80,80,80,80
490,Manaphy,water,,100,100,100,100
491,Darkrai,dark,,70,90,90,125
492,Shaymin,grass,grass,100,103,75,127
493,Arceus,normal,,120,120,120,120
494,Victini,psychic,fire,100,100,100,100
495,Snivy,grass,,45,45,55,63
496,Servine,grass,,60,60,75,83
497,Serperior,grass,,75,75,95,113
498,Tepig,fire,,65,63,45,45
499,Pignite,fire,fighting,90,93,55,55
500,Emboar,fire,fighting,110,123,65,65
501,Oshawott,water,,55,55,45,45
502,Dewott,water,,75,75,60,60
503,Samurott,water,,95,100,85,70
504,Patrat,normal,,45,55,39,42
505,Watchog,normal,,60,85,69,77
506,Lillipup,normal,,45,60,45,55
507,Herdier,normal,,65,80,65,60
508,Stoutland,normal,,85,110,90,80
509,Purrloin,dark,,41,50,37,66
510,Liepard,dark,,64,88,50,106
511,Pansage,grass,,50,53,48,64
512,Simisage,grass,,75,98,63,101
513,Pansear,fire,,50,53,48,64
514,Simisear,fire,,75,98,63,101
515,Panpour,water,,50,53,48,64
516,Simipour,water,,75,98,63,101
517,Munna,psychic,,76,25,45,24
518,Musharna,psychic,,116,55,85,29
519,Pidove,normal,flying,50,55,50,43
520,Tranquill,normal,flying,62,77,62,65
521,Unfezant,normal,flying,80,115,80,93
522,Blitzle,electric,,45,60,32,76
523,Zebstrika,electric,,75,100,63,116
524,Roggenrola,rock,,55,75,85,15
525,Boldore,rock,,70,105,105,20
526,Gigalith,rock,,85,135,130,25
527,Woobat,psychic,flying,65,45,43,72
528,Swoobat,psychic,flying,67,57,55,114
529,Drilbur,ground,,60,85,40,68
530,Excadrill,ground,steel,110,135,60,88
531,Audino,normal,,103,60,126,50
532,Timburr,fighting,,75,80,55,35
533,Gurdurr,fighting,,85,105,85,40
534,Conkeldurr,fighting,,105,140,95,45
535,Tympole,water,,50,50,40,64
536,Palpitoad,water,ground,75,65,55,69
537,Seismitoad,water,ground,105,95,75,74
538,Throh,fighting,,120,100,85,45
539,Sawk,fighting,,75,125,75,85
540,Sewaddle,bug,grass,45,53,70,42
541,Swadloon,bug,grass,55,63,90,42
542,Leavanny,bug,grass,75,103,80,92
543,Venipede,bug,poison,30,45,59,57
544,Whirlipede,bug,poison,40,55,99,47
545,Scolipede,bug,poison,60,100,89,112
546,Cottonee,grass,fairy,40,27,60,66
547,Whimsicott,grass,fairy,60,67,85,116
548,Petilil,grass,,45,35,50,30
549,Lilligant,grass,,70,60,75,90
550,Basculin,water,,70,92,65,98
551,Sandile,ground,dark,50,72,35,65
552,Krokorok,ground,dark,60,82,45,74
553,Krookodile,ground,dark,95,117,80,92
554,Darumaka,fire,,70,90,45,50
555,Darmanitan,fire,fire,105,30,105,55
556,Maractus,grass,,75,86,67,60
557,Dwebble,bug,rock,50,65,85,55
558,Crustle,bug,rock,70,105,125,45
559,Scraggy,dark,fighting,50,75,70,48
560,Scrafty,dark,fighting,65,90,115,58
561,Sigilyph,psychic,flying,72,58,80,97
562,Yamask,ghost,,38,30,85,30
563,Cofagrigus,ghost,,58,50,145,30
564,Tirtouga,water,rock,54,78,103,22
565,Carracosta,water,rock,74,108,133,32
566,Archen,rock,flying,55,112,45,70
567,Archeops,rock,flying,75,140,65,110
568,Trubbish,poison,,50,50,62,65
569,Garbodor,poison,,80,95,82,75
570,Zorua,dark,,40,65,40,65
571,Zoroark,dark,,60,105,60,105
572,Minccino,normal,,55,50,40,75
573,Cinccino,normal,,75,95,60,115
574,Gothita,psychic,,45,30,50,45
575,Gothorita,psychic,,60,45,70,55
576,Gothitelle,psychic,,70,55,95,65
577,Solosis,psychic,,45,30,40,20
578,Duosion,psychic,,65,40,50,30
579,Reuniclus,psychic,,110,65,75,30
580,Ducklett,water,flying,62,44,50,55
581,Swanna,water,flying,75,87,63,98
582,Vanillite,ice,,36,50,50,44
583,Vanillish,ice,,51,65,65,59
584,Vanilluxe,ice,,71,95,85,79
585,Deerling,normal,grass,60,60,50,75
586,Sawsbuck,normal,grass,80,100,70,95
587,Emolga,electric,flying,55,75,60,103
588,Karrablast,bug,,50,75,45,60
589,Escavalier,bug,steel,70,135,105,20
590,Foongus,grass,poison,69,55,45,15
591,Amoonguss,grass,poison,114,85,70,30
592,Frillish,water,ghost,55,40,50,40
593,Jellicent,water,ghost,100,60,70,60
594,Alomomola,water,,165,75,80,65
595,Joltik,bug,electric,50,47,50,65
596,Galvantula,bug,electric,70,77,60,108
597,Ferroseed,grass,steel,44,50,91,10
598,Ferrothorn,grass,steel,74,94,131,20
599,Klink,steel,,40,55,70,30
600,Klang,steel,,60,80,95,50
601,Klinklang,steel,,60,100,115,90
602,Tynamo,electric,,35,55,40,60
603,Eelektrik,electric,,65,85,70,40
604,Eelektross,electric,,85,115,80,50
605,Elgyem,psychic,,55,55,55,30
606,Beheeyem,psychic,,75,75,75,40
607,Litwick,ghost,fire,50,30,55,20
608,Lampent,ghost,fire,60,40,60,55
609,Chandelure,ghost,fire,60,55,90,80
610,Axew,dragon,,46,87,60,57
611,Fraxure,dragon,,66,117,70,67
612,Haxorus,dragon,,76,147,90,97
613,Cubchoo,ice,,55,70,40,40
614,Beartic,ice,,95,130,80,50
615,Cryogonal,ice,,80,50,50,105
616,Shelmet,bug,,50,40,85,25
617,Accelgor,bug,,80,70,40,145
618,Stunfisk,ground,electric,109,66,84,32
619,Mienfoo,fighting,,45,85,50,65
620,Mienshao,fighting,,65,125,60,105
621,Druddigon,dragon,,77,120,90,48
622,Golett,ground,ghost,59,74,50,35
623,Golurk,ground,ghost,89,124,80,55
624,Pawniard,dark,steel,45,85,70,60
625,Bisharp,dark,steel,65,125,100,70
626,Bouffalant,normal,,95,110,95,55
627,Rufflet,normal,flying,70,83,50,60
628,Braviary,normal,flying,100,123,75,80
629,Vullaby,dark,flying,70,55,75,60
630,Mandibuzz,dark,flying,110,65,105,80
631,Heatmor,fire,,85,97,66,65
632,Durant,bug,steel,58,109,112,109
633,Deino,dark,dragon,52,65,50,38
634,Zweilous,dark,dragon,72,85,70,58
635,Hydreigon,dark,dragon,92,105,90,98
636,Larvesta,bug,fire,55,85,55,60
637,Volcarona,bug,fire,85,60,65,100
638,Cobalion,steel,fighting,91,90,129,108
639,Terrakion,rock,fighting,91,129,90,108
640,Virizion,grass,fighting,91,90,72,108
641,Tornadus,flying,,79,100,80,121
642,Thundurus,electric,flying,79,105,70,101
643,Reshiram,dragon,fire,100,120,100,90
644,Zekrom,dragon,electric,100,150,120,90
645,Landorus,ground,flying,89,145,90,91
646,Kyurem,dragon,ice,125,120,90,95
647,Keldeo,water,fighting,91,72,90,108
648,Meloetta,normal,psychic,100,128,90,128
649,Genesect,bug,steel,71,120,95,99
650,Chespin,grass,,56,61,65,38
651,Quilladin,grass,,61,78,95,57
652,Chesnaught,grass,fighting,88,107,122,64
653,Fennekin,fire,,40,45,40,60
654,Braixen,fire,,59,59,58,73
655,Delphox,fire,psychic,75,69,72,104
656,Froakie,water,,41,56,40,71
657,Frogadier,water,,54,63,52,97
658,Greninja,water,dark,72,145,67,132
659,Bunnelby,normal,,38,36,38,57
660,Diggersby,normal,ground,85,56,77,78
661,Fletchling,normal,flying,45,50,43,62
662,Fletchinder,fire,flying,62,73,55,84
663,Talonflame,fire,flying,78,81,71,126
664,Scatterbug,bug,,38,35,40,35
665,Spewpa,bug,,45,22,60,29
666,Vivillon,bug,flying,80,52,50,89
667,Litleo,fire,normal,62,50,58,72
668,Pyroar,fire,normal,86,68,72,106
669,Flabébé,fairy,,44,38,39,42
670,Floette,fairy,,74,65,67,92
